r,theta,mu,nu,residual
4.709999999999999964e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.148841976334761839e+01
4.799999999999999822e+00,1.262920246743096886e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.148700147265755689e+01
7.780000000000000249e+00,2.701769682087222346e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.148630513771677641e+01
7.769999999999999574e+00,2.689203311472863067e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.148536841905853123e+01
4.849999999999999645e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.148458811840371752e+01
7.750000000000000000e+00,2.695486496780042707e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.148359033899422954e+01
7.759999999999999787e+00,2.689203311472863067e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.148316820637349167e+01
7.790000000000000036e+00,2.701769682087222346e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.148288027397495270e+01
7.769999999999999574e+00,2.701769682087222346e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.148279792067034677e+01
4.860000000000000320e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.148110192025752951e+01
4.839999999999999858e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.148074757388353007e+01
7.799999999999999822e+00,2.695486496780042707e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.148072768659419651e+01
7.780000000000000249e+00,2.689203311472863067e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.148059776133439769e+01
4.809999999999999609e+00,1.187522023056941878e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.147659635303138259e+01
4.709999999999999964e+00,1.275486617357456165e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.147475643572666826e+01
7.750000000000000000e+00,2.689203311472863067e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.147400286314998752e+01
7.799999999999999822e+00,2.701769682087222346e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.147251946772045628e+01
7.759999999999999787e+00,2.701769682087222346e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.147236575348641452e+01
4.870000000000000107e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.147005229644790703e+01
4.830000000000000071e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.146981512171477036e+01
7.790000000000000036e+00,2.689203311472863067e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.146885379957443618e+01
4.889999999999999680e+00,1.181238837749762238e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.146720383999135606e+01
4.889999999999999680e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.146701815676696512e+01
4.790000000000000036e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.146547697390295539e+01
7.740000000000000213e+00,2.695486496780042707e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.146333097746890317e+01
4.830000000000000071e+00,1.181238837749762238e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.146297233914070546e+01
4.740000000000000213e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.146124280796955119e+01
4.729999999999999538e+00,1.281769802664635582e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.146062852350665295e+01
4.750000000000000000e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.146029614522209528e+01
7.809999999999999609e+00,2.695486496780042707e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.145928955487294942e+01
7.740000000000000213e+00,2.689203311472863067e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.145788143063063913e+01
4.769999999999999574e+00,1.275486617357456165e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.145688705408034025e+01
4.709999999999999964e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.145643914080981318e+01
