r,theta,mu,nu,residual
1.580000000000000071e+00,5.698849073611884641e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.137665437456538697e+01
1.550000000000000044e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.137577712646278272e+01
1.510000000000000009e+00,5.598318108697011297e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.137172171769048035e+01
1.449999999999999956e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.137081582779398659e+01
1.610000000000000098e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.136875020116212198e+01
1.469999999999999973e+00,5.598318108697011297e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.136684470822348203e+01
1.600000000000000089e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.136571567903206414e+01
1.550000000000000044e+00,5.698849073611884641e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.136557372725319581e+01
1.449999999999999956e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.136274598230149380e+01
1.590000000000000080e+00,5.698849073611884641e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.136151679049993746e+01
1.459999999999999964e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.135613664098932674e+01
1.520000000000000018e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.135201819010466906e+01
1.449999999999999956e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134909650278065030e+01
1.540000000000000036e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134898223837265263e+01
1.520000000000000018e+00,5.598318108697011297e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134740266120797614e+01
1.610000000000000098e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134620843675488189e+01
1.620000000000000107e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134552796156790322e+01
1.540000000000000036e+00,5.698849073611884641e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134299544069502375e+01
1.479999999999999982e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134213233794725539e+01
1.489999999999999991e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134137413265944616e+01
1.620000000000000107e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.134112398069103733e+01
1.459999999999999964e+00,5.598318108697011297e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133998882247265527e+01
1.620000000000000107e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133873243770045036e+01
1.449999999999999956e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133738381514517002e+01
1.580000000000000071e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133736927751678181e+01
1.600000000000000089e+00,5.698849073611884641e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133700843735536878e+01
1.570000000000000062e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133423356712924956e+01
1.610000000000000098e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133391756788659777e+01
1.469999999999999973e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133151297990176687e+01
1.590000000000000080e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.133085350320322959e+01
1.500000000000000000e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.132909921732113290e+01
1.489999999999999991e+00,5.592034923389832102e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.132575765472329010e+01
1.620000000000000107e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.132544676429658637e+01
1.479999999999999982e+00,5.592034923389832102e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.132458364578199905e+01
1.560000000000000053e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.132158942944306546e+01
1.620000000000000107e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.132082266779428892e+01
